name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
Clever,"Fuglevangsvej 10, 1962 Frederiksberg",55.682261,12.548138,97359a22-cd67-450f-a3ba-1d08ee04f18b,8,6,2,0,0,0,22.0
Norlys,"Vodroffsvej 55, 1900 Frederiksberg",55.680692,12.555318,175c18a9-6f30-4ff1-9f2a-7cca5a358d29,6,5,1,0,0,0,11.0
Clever,"Steenwinkelsvej 13, 1966 Frederiksberg C",55.683374,12.550318,c04c9a25-694f-4af6-b3e2-abd1ce34056f,4,2,2,0,0,0,22.0
Spirii,"Adolph Steens Allé 9, 1971 Frederiksberg",55.684108,12.552714,98cc886d-e066-43b2-a75e-91d5c841d106,7,3,4,0,0,0,22.0
drivee,"Åboulevard 29, 1960 Frederiksberg",55.68452,12.552494,,0,0,0,0,0,0,
Clever,"Ingemannsvej 30, 1964 Frederiksberg",55.684875,12.548784,8715ab06-3e5c-4a2e-b1c0-026716bab061,6,4,2,0,0,0,22.0
Clever,"Bülowsvej 41, 1870 Frederiksberg C",55.685099,12.545561,49cb3748-855d-4dcd-b06f-eb0dbd34ce7e,10,9,1,0,0,0,22.0
Norlys,"Bernhard Bangs Allé 45, 2000 Frederiksberg",55.68609,12.506561,74fff369-15d3-463a-bc8a-a7944747eb36,4,4,0,0,0,0,22.0
Clever,"Moltkesvej 24, 2000 Frederiksberg",55.686507,12.509255,6d3a671c-cc5a-4918-bbdc-de779807efde,8,5,3,0,0,0,22.0
Clever,"Femte Juni Plads 12, 2000 Frederiksberg",55.68809,12.513806,b571aaed-0331-4876-8eb4-6692c5b61b27,4,3,1,0,0,0,22.0
Circle K,"Godthåbsvej 144, 2000 Frederiksberg",55.690003,12.519068,1fc8ee2d-7a15-4e3e-a083-3aa29c2ed7cc,3,2,1,0,0,0,400.0
E.ON Drive,"Skadestuevej 15, 2000 Frederiksberg",55.687245,12.523863,4960647a-c89b-45e4-866b-c1e0e75cd95b,2,1,1,0,0,0,22.0
OK,"Godthåbsvænget 12, 2000 Frederiksberg",55.690952,12.52045,09cde0f6-c8ec-8c00-be96-74497d89e658,8,5,3,0,0,0,40.0
Clever,"Skadestuevej 3, 2000 Frederiksberg",55.687109,12.525941,13ceeb5b-db98-8379-b830-06f1c755739f,2,2,0,0,0,0,50.0
Clever,"Guldborgvej 41, 2000 Frederiksberg",55.687506,12.528114,a4154ea1-b199-4355-a8c3-4003061cf818,6,4,2,0,0,0,22.0
OK,"Holger Danskes Vej 108, 2000 Frederiksberg",55.688721,12.528801,15f4c08c-703b-8dac-be0f-f8b5b69a3f1e,6,4,2,0,0,0,40.0
OK,"Bogøvej 7, 2000 Frederiksberg",55.687807,12.531404,2fe2dcfa-e36e-8947-b80a-32e908c560ae,6,6,0,0,0,0,40.0
NRGi,"Kong Georgs Vej, 2000 Frederiksberg",55.688496,12.533306,,0,0,0,0,0,0,
Clever,"Holger Danskes Vej 19, 2000 Frederiksberg",55.686671,12.537486,8dd9ae14-1f42-45cf-aa03-65936e0fab36,6,2,4,0,0,0,22.0
